address,contact,description,image_url,price,title
"Pimlico Place, 28 Guildhouse Street, London, SW1V",020 8022 7408,Well proportioned duplex two bedroom apartment.,,"£1,000,000 ",2 bedroom flat for sale
"Pimlico Place, 28 Guildhouse Street, London, SW1V",020 8022 7408,A contemporary two bedroom duplex apartment near Victoria Station.,,"£1,200,000 ",3 bedroom flat for sale
"Euphoria Building, 95 Redchurch Street, London, E2",020 8022 6250,"A wonderfully light 2 bedroom, 2 bathroom apartment situated on the third floor of a modern development on one of the most sought after streets in Shoreditch.",,"£949,950 ",2 bedroom flat for sale
"Guildford Road, Walthamstow, London E17",020 3641 9508,"3 Bedroom House with large living / reception through loungh room, first floor bathroom, ",,"£500,000 ",3 bedroom terraced house for sale
"Hallam Street, Marylebone, W1",020 8115 1768,"One bedroom flat set on the second floor of this portered apartment building in Marylebone, within a short walk of Portland Place, Regent's Park and Marylebone Village. 24 hour porter service and lift access.",https://media.onthemarket.com/properties/9784104/1330976023/image-0-480x320.jpg,"£595,000 ",1 bedroom flat for sale
"Beaufort Park , London NW9",01296 595252,"Luxurious 3 bedrooms with high-end finishing. Perfect for families - with manicured green living spaces, and pre-school education facilities on your doorstep. Contact us to find out more.In North West London's most exciting destinations, this thriving community is the ideal place to live, with...",https://media.onthemarket.com/properties/9784102/1330975822/image-1-480x320.jpg,"£845,000 ",3 bedroom apartment for sale
"Morton Close, London",020 8022 7318,Exclusively to Felicity J Lord is this spacious two double bedroom furnished modern apartment to the market. Situated on the top floor within a quiet gated development. The property benefits from a south-east facing balcony,https://media.onthemarket.com/properties/9784092/1330975252/image-0-480x320.jpg,"£450,000 ",2 bedroom flat for sale
"Park Way, Feltham, TW14",020 8022 6531, *VIDEO TOUR VIEWING AVAILABLE* CALL OR EMAIL NOW TO BOOK YOUR APPOINTMENT TIME. An extended two double bedroom semi detached house offered to the market for sale with no onward chain.,https://media.onthemarket.com/properties/9784074/1330974080/image-0-480x320.jpg,"£375,000 ",2 bedroom semi-detached house for sale
"The Water Gardens, London W2",020 3641 3837,A recently refurbished three bedroom apartment located in a Secured Gated Community with 24 hour Concierge Service (Porter) just a stone's throw from Hyde Park.,,"£950,000 ",3 bedroom flat for sale
"Flamborough Close, Biggin Hill, Kent",020 3641 7660,"QUIET CUL DE SAC LOCATION * 3 BEDROOMS * LARGE L SHAPED, OPEN PLAN LOUNGE / DINING ROOM * KITCHEN / UTILITY ROOM * FAMILY BATHROOM * SEPARATE WC * GARDEN * GARAGE * DRIVEWAY * STUNNING VIEWS ACROSS THE VALLEY AND FIELDS *QUOTE REF BMM WHEN APPLYING",https://media.onthemarket.com/properties/9784065/1330973920/image-0-480x320.jpg,"£365,000 ",3 bedroom terraced house for sale
"Altham Gardens, South Oxhey",020 8022 6635,"BE QUICK TO VIEW THIS RARELY AVAILABLE, 2 BEDROOM GROUND FLOOR FLAT WITHIN WALKING DISTANCE TO CARPENDERS PARK TRAIN STATION & LOCAL AMENITIES.  Property also comprises of a lounge, kitchen, bathroom, 2 allocated parking spaces and an easily accessible communal garden.",https://media.onthemarket.com/properties/9784062/1330973824/image-0-480x320.jpg,"£269,950 ",2 bedroom flat for sale
Brockley,020 8128 0543,"Beautifully presented, newly refurbished, luxury period home located in the heart of Brockley.  Offering 4 large bedrooms and 2 state of the art bathrooms, comprising of a double walk in shower, freestanding bathtub and waterproof TV.",https://media.onthemarket.com/properties/9784061/1330973566/image-0-480x320.jpg,"£935,000 ",4 bedroom terraced house for sale
"Northolt Road, HA2",020 8115 0985,*FINDER'S FEE APPLICABLE*alexandra park is pleased to offer this recently refurbished first floor flat off Harrow Road Central London. Share Of Freehold. No chain*FINDER'S FEE APPLICABLE*,https://media.onthemarket.com/properties/9784055/1330972689/image-0-480x320.jpg,"£849,950 ",1 bedroom flat for sale
"Beaufort Park , London  NW9",01296 595252,"Luxurious 3 bedrooms with high-end finishing. Perfect for families - with manicured green living spaces, and pre-school education facilities on your doorstep.  Contact us to find out more.In North West London's most exciting destinations, this thriving community is the ideal place to live, with...",https://media.onthemarket.com/properties/9784048/1330971475/image-1-480x320.jpg,"£530,000 ",2 bedroom apartment for sale
"Westgate House, Ealing, W5",020 8033 1702,4th Floor | Studio apartment | West Aspect | Excellent transport links to West End and central London | Comfort Cooling | Contract assignment | Completion expected Q1 2021 | 999 year lease | Under Original Purchase Price | 24 Hr Concierge | Resident's Gymnasium| Sauna & Steam Room | Sceening...,https://media.onthemarket.com/properties/9784043/1330971221/image-0-480x320.jpg,"£275,000 ",Studio for sale
"Harrow Road, London, W9",020 8115 0668,"A beautifully presented 1 bedroom flat offering over 450sqft of accommodation on the third (top) floor of a period conversion. Ideally located for the amenities of Harrow Road , Ladbroke Grove and Maida Vale. Westbourne Park underground is close by.",https://media.onthemarket.com/properties/8719471/1330970961/image-0-480x320.jpg,"£345,000 ",1 bedroom flat for sale
"Beaufort Park , London NW9",01296 595252,"Bright and modern 1 bedroom apartment with high-end features! Contact us now to find out more.In North West London’s most exciting destinations, this thriving community is the ideal place to live, with stylish apartments boasting exclusive health and fitness facilities, beautifully landscaped...",https://media.onthemarket.com/properties/9784036/1330971369/image-0-480x320.jpg,"£400,000 ",1 bedroom apartment for sale
"Wooldridge Close, Bedfont, TW14",01784 335880,"A well-presented two bedroom flat with a very large and quite unique private balcony feature, en suite shower, additional bathroom, allocated parking, no chain and a convenient location close to excellent routes linking Heathrow Airport, Hatton Cross and roads to Central London and the M25 network.",https://media.onthemarket.com/properties/9289306/1330627707/image-0-480x320.jpg,"£260,000 ",2 bedroom apartment for sale
"Brimsdown Avenue, Enfield",020 8115 0388,Alex Crown are pleased to offer this Lovely 3 Double Bedroom House with Garden and potential for off street parking located in Enfield EN3.,https://media.onthemarket.com/properties/9784022/1330969814/image-0-480x320.jpg,"£375,000 ",3 bedroom terraced house for sale
"Royle Close, Romford, RM2",01708 573653,"Guide Price £190,000-£200,000An opportunity has arisen to acquire this well proportioned one bedroom, second floor apartment situated within striking distance of Gidea Park station. (contd...)",https://media.onthemarket.com/properties/4313610/1327046220/image-0-480x320.jpg,"£190,000 ",1 bedroom apartment for sale
"Steels Lane, London, E1 0DP",020 8022 7318,Welcome home to this uniquely designed four bedroom townhouse. The ground floor consists of a large living room with crittle windows to front and an open place kitchen leading to a rear patio. The kitchen is finished to a high stand with integrated appliances including a wine cooler,https://media.onthemarket.com/properties/9784005/1330968942/image-0-480x320.jpg,"£875,000 ",4 bedroom terraced house for sale
"Oxford Road South, Chiswick, London",020 8022 6614,"A stunning, split level conversion flat offering bright and spacious accommodation in excess of 1,150 sq ft, with a large open plan reception room/kitchen, two double bedrooms, and bathroom.Leasehold",https://media.onthemarket.com/properties/9501500/1324144655/image-0-480x320.jpg,"£600,000 ",2 bedroom flat for sale
"DOROTHY ROAD, CLAPHAM, London, SW11",020 8128 9276,"Yes, this is not a leasehold flat, it really is a two double bedroom Freehold house.",https://media.onthemarket.com/properties/9783993/1330968286/image-0-480x320.jpg,"£700,000 ",2 bedroom house for sale
"Rowan Close, South Ealing",020 8115 3267,EXTRAORDINARILY WELL PROPORTIONED ONE BED FLAT!!!,https://media.onthemarket.com/properties/9783978/1330967644/image-0-480x320.jpg,"£315,000 ",1 bedroom flat for sale
"Greenwood Avenue, London, EN3",020 8115 1209,"Knights are proud to offer to the market this TWO BEDROOM FIRST FLOOR FLAT, situated within a modern development. The property benefits from TWO BEDROOMS, SPACIOUS LOUNGE, LARGE KITCHEN, COMMUNAL GARDENS, DOUBLE GLAZED WINDOWS and ELECTRIC HEATING. Viewings highly recommended! ",https://media.onthemarket.com/properties/9783976/1330967623/image-0-480x320.jpg,"£249,995 ",2 bedroom flat for sale
"Harrow,HA3 6PP",020 8033 5596,"An impressive and substantial 3/4 bedroom family home within 0.7 miles of Hatch End Station.Features include formal sitting room,study/4th bedroom,kitchen/breakfast room and off street parking.",https://media.onthemarket.com/properties/9174391/1330967422/image-0-480x320.jpg,"£500,000 ",3 bedroom semi-detached house for sale
"Meadowcroft Road, London, N13",020 8022 6548,"An elegant one bedroom flat occupying the entire ground floor of an Edwardian conversion. with planning consent granted for a single storey rear extension providing a kitchen/diner, second bedroom and a study. (contd...)",https://media.onthemarket.com/properties/9783964/1330967204/image-0-480x320.jpg,"£400,000 ",1 bedroom flat for sale
"Grovelands Road, London, N13",020 8022 6548,"A beautifully presented ground floor flat forming part of a period conversion, situated within the desirable 'Lakes' conservation area, close to Palmers Green mainline BR station to Moorgate, Broomfield Park and an excellent selection of cafes and restaurants along nearby Aldermans Hill (contd...)",https://media.onthemarket.com/properties/9783963/1330967203/image-0-480x320.jpg,"£475,000 ",2 bedroom flat for sale
"Dalmeny Court, 8 Duke Street, St. James's, London, SW1Y",020 8022 6977,A beautifully presented and incredibly bright two bedroom flat on the sixth floor of a sought after building with a lift and porter in the heart of St James's.,https://media.onthemarket.com/properties/8841184/1327984033/image-0-480x320.jpg,"£1,395,000 ",2 bedroom flat for sale
"Wenvoe Avenue, Bexleyheath, Kent, DA7 5BU",020 8115 3122,"Presented to the market in immaculate condition is this two double bedroom semi-detached bungalow in a popular Road close to many local amenities. The accommodation on offer comprises entrance hall, large open plan living/dining room with bi-folding doors to the rear garden, modern fitted open...",https://media.onthemarket.com/properties/9783940/1330966707/image-0-480x320.jpg,"£465,000 ",2 bedroom semi-detached bungalow for sale
"Brookfield Road, London, E9",020 8022 6692,"Enviably located being only moments from the magnificent open spaces of Victoria Park, is this striking duplex apartment occupying the upper levels of this Victorian house. Retaining a host of grand classic features, exquisite modern designs and bathed in natural light. (contd...)",https://media.onthemarket.com/properties/9783936/1330966128/image-0-480x320.jpg,"£550,000 ",2 bedroom flat for sale
"Hall Road, Chadwell Heath, Romford, Essex",020 3641 6248,This FABULOUS semi-detached house is conveniently situated close to Chadwell Heath station and bus links. This property has a spacious kitchen/diner and comes with off street parking.,https://media.onthemarket.com/properties/9783922/1330965124/image-0-480x320.jpg,"£475,000 ",3 bedroom semi-detached house for sale
"Langdale Drive, Hayes UB4",020 3641 4797,"Extended three bed semi detached house,  generous room sizes, entrance porch, through lounge dining room opening onto fitted kitchen, additional extended reception room, utility room, modern bathroom, separate wc, double glazing, central heating, presented in good order throughout, garage & parking.",,"£479,950 ",3 bedroom semi-detached house for sale
"Hall Road, Chadwell Heath, Romford, Essex",020 3641 6248,This FABULOUS semi-detached house is conveniently situated close to Chadwell Heath station and bus links. This property has a spacious kitchen/diner and comes with off street parking.,https://media.onthemarket.com/properties/9783922/1330965124/image-0-480x320.jpg,"£475,000 ",3 bedroom semi-detached house for sale
"Eleanor House 33-35 Eleanor Cross Road, EN8",020 8022 3164,"Cole Harding presents this Amazing Third Floor Two Bedroom Apartment to the market. The property Benefits from Allocated parking, Open plan Lounge, Fitted Kitchen long lease, Lift access to all floors, Double Glazed windows, Spacious Bathroom, Good condition Throughout, as well as offering Great...",https://media.onthemarket.com/properties/9783920/1330964778/image-0-480x320.jpg,"£240,000 ",2 bedroom flat for sale
Buttmarsh Close London SE18,020 8033 3061,An opportunity to acquire a three bedroom terrace house located just 0.3 mile to Woolwich Arsenal Station. This property has an abundance of potential and would benefit from a refurbishment. Sold with no onward chain.,https://media.onthemarket.com/properties/9783899/1330963525/image-0-480x320.jpg,"£350,000 ",3 bedroom terraced house for sale
"Aylsham Drive, Ickenham, UB10",01895 754915,Orchard Property Services are delighted to market this three bedroom staggered mid-terrace family home offered to the market in a well presented condition throughout and benefiting from excellent potential to extend (stpp). ,https://media.onthemarket.com/properties/9307636/1330963288/image-0-480x320.jpg,"£424,000 ",3 bedroom terraced house for sale
"Garden Close, Ruislip, HA4 6DB",020 3641 4686,"New to the market and located in RUISLIP is a newly renovated spacious 726 Square Foot  2 BEDROOM FLAT with large eat-in kitchen and utility room.  Located close to the town centre, close to local amenities and transport links.  CHAIN FREE.  Viewings available weekdays, evenings and weekends!",https://media.onthemarket.com/properties/9783887/1330963266/image-0-480x320.jpg,"£350,000 ",2 bedroom flat for sale
"Dellors Close, High Barnet, EN5",020 3589 2848,"Mantlestates are pleased to offer this large 5 BEDROOM END OF TERRACED HOUSE SET IN QUIET CUL-DE-SAC, 3 bathrooms, LARGE FULLY FITTED KITCHEN, lounge, dining room, study, double glazing throughout, gas central heating, LARGE FRONT & REAR GARDENS, TWIN GARAGE & OFF STREET PARKING X 4 CARS, Very...",https://media.onthemarket.com/properties/8479713/1330743439/image-0-480x320.jpg,"£950,000 ",5 bedroom end of terrace house for sale
"St David's Square, Isle Of Dogs, London E14",020 8115 1002,"A beautifully presented one double bedroom apartment in the sought after St David's Square development. Comprising an updated and high quality fully integrated kitchen with all expected appliances, luxury fitted bathroom suite and wood flooring. The property is offered unfurnished and benefits...",https://media.onthemarket.com/properties/9783856/1330961965/image-0-480x320.jpg,"£415,000 ",1 bedroom apartment for sale
"Oxford Road South, Chiswick",020 8033 2476,A stunning split level period conversion on this popular residential street with two double bedrooms and a modern open plan kitchen reception room.,https://media.onthemarket.com/properties/8578702/1330961625/image-0-480x320.jpg,"£600,000 ",2 bedroom flat for sale
"The Grove,",020 8115 3267,"""EVERYTHING YOU COULD WANT ON YOUR DOORSTEP!""",https://media.onthemarket.com/properties/9783828/1330960954/image-0-480x320.jpg,"£525,000 ",2 bedroom penthouse for sale
Bury Avenue UB4,020 8022 6718,"We are pleased to offer this 2 bedroom Ground Floor Maisonette, located off Charville Lane situated in a good residential area, close to local shops, schools and transport links.*PROPERTY FOR INVESTMENT ONLY* - Currently rented on AST at a rent of £1,150 PCM- Ground Floor Maisonette- 2 Good Sized...",https://media.onthemarket.com/properties/9783772/1330958100/image-1-480x320.jpg,"£295,000 ",2 bedroom maisonette for sale
"Wood End Green Road, Hayes UB3",020 8022 6718,"We are delighted to present this brand new development offering a stunning collection of apartments on Wood End Green Road. This apartment comprises one spacious bedroom, large and bright living space with a modern open plan kitchen and family bathroom.Situated within easy reach of Hayes Town...",https://media.onthemarket.com/properties/9783766/1330957898/image-0-480x320.jpg,"£269,000 ",1 bedroom flat for sale
"Wood End Green Road, Hayes UB3",020 8022 6718,"We are delighted to present this brand new development offering a stunning collection of apartments on Wood End Green Road. This apartment comprises a large and bright living area with a modern open plan kitchen and bathroom.Situated within easy reach of Hayes Town Centre and the Uxbridge Road,...",https://media.onthemarket.com/properties/9783761/1330957456/image-1-480x320.jpg,"£199,000 ",Flat for sale
"Garfield Road, Battersea SW11",020 8128 1359,"A spacious five bedroom family house presented in excellent condition throughout, arranged over three floors with private garden. Garfield Road is located close to Clapham Old Town and Clapham Common with good transport links from Clapham Common Underground and Clapham Junction station.",https://media.onthemarket.com/properties/9545484/1330539731/image-0-480x320.jpg,"£1,249,950 ",5 bedroom terraced house for sale
"2 Bedroom Apartment - Plot 160 at Aspext, Sales Centre , Omega Works, 4 Roach Road  E3",020 3641 6271,"With a private balcony, two double bedrooms, two bathrooms and located on the 4th floor, this apartment is the perfect spot to call home.",https://media.onthemarket.com/properties/9783594/1330935060/image-0-480x320.jpg,"£585,000 ",2 bedroom apartment for sale
"1 Bedroom Apartment - PLOT 130 at Aspext, Sales Centre , Omega Works, 4 Roach Road  E3",020 3641 6271,"Available with Help to Buy, this 1 bedroom property is located on the 1st floor and benefits from a south facing balcony and an open plan kitchen/living/dining area ",https://media.onthemarket.com/properties/9783592/1330935056/image-0-480x320.jpg,"£447,000 ",1 bedroom apartment for sale
"Love Lane, Woodford Green IG8",020 8022 6678,"Brand new renovated Four bedroom semi-detached house in a quiet road close to shops, schools and central line station.This house has been fully renovated to a high standard and viewing is recommended to appreciate the quality of the works.Large lounge leading to high spec Italian kitchen with...",https://media.onthemarket.com/properties/9434753/1328912166/image-0-480x320.jpg,"£670,000 ",4 bedroom semi-detached house for sale
"Grosvenor Road, London, E11",020 8033 3758,"* GUIDE PRICE £370,000 to £390,000 * * NO ONWARD CHAIN * Sandra Davidson are pleased to present an opportunity to acquire a good size, two bedroom, ground floor flat situated on the ever popular Grosvenor Road just off the High Street in WANSTEAD . The property features two bedrooms, large...",https://media.onthemarket.com/properties/9783564/1330934050/image-0-480x320.jpg,"£370,000 ",2 bedroom flat for sale
"Wycombe Gardens, NW11",020 8115 2006,"Photos are for illustration purposes only.Two SOLD with ONLY two remaining.Hausman and Holmes are delighted to have been instructed on the sale of this exclusive development of only FOUR individually crafted family homes.Each benefiting four bedrooms, three bathrooms and totalling circa 2150 sq....",https://media.onthemarket.com/properties/9783554/1330933789/image-0-480x320.jpg,"£1,990,000 ",4 bedroom house for sale
"Farmleigh, Southgate, London",020 8115 2843,A PROFESSIONALLY EXTENDED 3 BEDROOM & 2 BATHROOM FULLY DETACHED HOUSE WITH DOUBLE GARAGE ON A BOLD CORNER PLOT WITH LARGER THAN AVERAGE GROUND FLOOR ACCOMMODATION AS WELL AS A WIDE FRONTAGE & PAVED OFF STREET PARKING.  There are 3 Good Sized Bedrooms & Large Fully Tiled Bathroom on the First...,https://media.onthemarket.com/properties/9783487/1330932749/image-0-480x320.jpg,"£749,950 ",3 bedroom house for sale
"Grafton Terrace, Gospel Oak NW5",020 8022 7320,"A luxuriously furnished three/four bedroom property, bordering Gospel Oak and Kentish Town. The property is split over five floors and benefits from two charming reception rooms and flexible accommodation for the growing family, arranged over five floors. There is a private roof terrace, and a...",https://media.onthemarket.com/properties/9783466/1330932462/image-0-480x320.jpg,"£2,000,000 ",3 bedroom terraced house for sale
"Somerford Street, London",020 8128 0627,"Kings Group are pleased to offer this ONE BEDROOM purpose built - split level flat located on Somerford Street, E1.  The property offers a very spacious lounge, a well equipped kitchen, a double bedroom and a three piece bathroom suite. This excellent first time purchase or buy to let investment...",https://media.onthemarket.com/properties/9045501/1330932421/image-0-480x320.jpg,"£300,000 ",1 bedroom flat for sale
STANMORE PLACE,020 8128 4415,"Stones residential are delighted to present this two double bedroom two bathroom modern apartment  on the fourth floor settled at Royal Court prestigious development in Stanmore Place which is close to local boutiques, cafes, shopping places and local private schools.Property briefly comprises of...",,"£450,000 ",2 bedroom apartment for sale
"Berkeley Waye, Heston TW5",020 8033 0013,"Move Inn Estates brings to market this three bedroom semi-detached family home situated on one of Hestons premier roads. Comprising of three spacious bedrooms, a good size through lounge area, large kitchen area, family bathroom and downstairs WC. The property is also compliment with a spacious...",https://media.onthemarket.com/properties/9783456/1330932314/image-0-480x320.jpg,"£565,000 ",3 bedroom semi-detached house for sale
Camberwell New Road Camberwell SE5,020 3544 5659,Opportunity To Add Value | Chain Free | Great Investment | Split Level | Close To Oval Underground | Over 5% Rental Yield | Brand New Lease | Energy Efficiency Rating D.,,"£330,000 ",2 bedroom flat for sale
"Kew Eye, Great West Quarter, Brentford",020 8033 5864,"A stylish apartment with UNDERGROUND PARKING and a WRAP-AROUND WINTER BALCONY in the desirable Great West Quarter development in Brentford. The property has access to a CONCIERGE service and RESIDENTS' GYM, and benefits from lift access and an entryphone system. The apartment itself features...",https://media.onthemarket.com/properties/9010475/1330931851/image-0-480x320.jpg,"£625,000 ",2 bedroom apartment for sale
"Otho Court, Augustus Close, Brentford",020 8033 5864,"A split level apartment with ALLOCATED PARKING in a private development moments from the town centre in Brentford. This property benefits from AMPLE STORAGE and consists of a spacious living room, FULLY FITTED EAT-IN KITCHEN, PRIVATE BALCONY, MODERNISED BATHROOM and two double bedrooms, both...",https://media.onthemarket.com/properties/9783431/1330931850/image-0-480x320.jpg,"£400,000 ",2 bedroom flat for sale
"Hurst Road, West Molesey",020 3641 4526,"We are pleased to offer this attractive bay fronted semi-detached family home which has been extended on both the ground and first floor, providing an extra reception room and a much improved third bedroom. The property is tastefully decorated throughout and is with a very short distance of the...",https://media.onthemarket.com/properties/9783424/1330931662/image-0-480x320.jpg,"£650,000 ",3 bedroom semi-detached house for sale
"Sherwood Avenue, Greenford",020 8115 0944,"BEAT THE STAMP DUTY DEADLINE OF 31ST MARCH 2021 (£15,000 SAVING). This completely refurbished 1930's built family home is offered to the market with no upper chain and can be yours within a matter of weeks. Upgraded by the existing owner to the highest of standards with an extensive renovation...",https://media.onthemarket.com/properties/9783405/1330931258/image-0-480x320.jpg,"£565,000 ",3 bedroom terraced house for sale
"55 George Street, Marylebone W1H",020 8022 7037,"A light and airy, (1,272 sqft /118sqm) two bedroom, two bathroom third floor apartment set within a prestigious modern building.  Finished to an exceptional standard, comprising three bedrooms, a well fitted kitchen and two modern bathrooms. Further benefits include a peaceful communal courtyard,...",https://media.onthemarket.com/properties/9783393/1330931064/image-0-480x320.jpg,"£2,600,000 ",2 bedroom flat for sale
"Mercer House, Battersea Exchange, 5 Lockington Road, Nine Elms, London SW8",020 8022 6964,"A spacious 3 double bedroom apartment of 1,024 sq.ft and located on the 6th floor as part of this prestigious new development located next door to the new Battersea Power Station  and the new underground tube extension.  The Property comprises three double bedrooms, two bathrooms (1 en-suite),...",https://media.onthemarket.com/properties/9783381/1330930918/image-0-480x320.jpg,"£875,000 ",3 bedroom flat for sale
"Lawford Road, London, W4",020 8115 3046,"A beautifully presented and spacious 3/4 bed apartment, situated in the popular Grove Park area of Chiswick. The property is close to Chiswick House and Gardens, as well as a number of other parks, riverside walks and local shopping facilities, whilst further afield are the more extensive...",https://media.onthemarket.com/properties/9783361/1330930652/image-0-480x320.jpg,"£625,000 ",3 bedroom flat for sale
"Heathfield Terrace, London, W4",020 8115 3046,"A rare opportunity to purchase a flat within this pretty Grade II listed Georgian terrace overlooking Turnham Green. Located on the raised ground floor and presented in excellent order throughout having been subject to a full renovation in recent years, the accommodation comprises a stunning...",https://media.onthemarket.com/properties/9783359/1330930626/image-0-480x320.jpg,"£550,000 ",1 bedroom flat for sale
"Heathfield Terrace, London, W4",020 8115 3046,"A fantastic opportunity to purchase a flat within this pretty Grade II listed Georgian terrace overlooking Turnham Green. Located on the lower ground floor and presented in excellent order throughout having been subject to a full renovation in recent years, the accommodation comprises a 20'9...",https://media.onthemarket.com/properties/9783353/1330930503/image-0-480x320.jpg,"£499,950 ",1 bedroom flat for sale
"Windmill Hill, Ruislip",020 3641 9379,Brick Mortar are proud to offer for sale this splendid two bedroom apartment which is situated in a most convenient location for Ruislip Manor shops and station.  The property has a front entrance from street level  with a communal walkway to the front door.  The accommodation briefly comprises; ...,https://media.onthemarket.com/properties/9783301/1330929207/image-0-480x320.jpg,"£264,950 ",2 bedroom apartment for sale
"Hillside Crescent, Harrow",020 8033 5604,"This fine family home has been extensively enhanced by the addition of a large six meter extension to the ground floor and a loft extension providing bedrooms four, five and an en-suite shower room. In addition there is a further family bathroom on the first floor and the open plan living to the...",https://media.onthemarket.com/properties/9783279/1330928437/image-0-480x320.jpg,"£630,000 ",5 bedroom end of terrace house for sale
"Lower Merton Rise, London, NW3",020 8115 0361,* Video Tour * A well presented four double bedroom house (1948 sq ft / 180.9 sq m) arranged over 3 floors. The ground floor has been extended and provides impressive open plan living with access to a private patio garden. The first floor is currently laid out as two separate artistic studios...,https://media.onthemarket.com/properties/9019077/1328448463/image-0-480x320.jpg,"£2,150,000 ",4 bedroom house for sale
"Wendover Court, Chiltern Street, Marylebone, London W1U",020 8033 1199,"A beautifully presented flat situated on the first floor of this period building in Chiltern Street arguably one of Marylebone's most pretty and desirable streets. Recently refurbished to an exacting standard complete. High quality flooring throughout. Comprising entrance hall, reception room,...",https://media.onthemarket.com/properties/9783259/1330928017/image-0-480x320.jpg,"£1,350,000 ",3 bedroom apartment for sale
"Field End Road, Ruislip",01582 955758,"This modern two bedroom apartment is ideal for first time buyers, or investment purposes alike. Minutes walk from Eastcote underground station this apartment offers Two spacious double bedrooms, a modern fitted bathroom and a large open plan lounge/kitchen. A modern fully fitted kitchen with...",https://media.onthemarket.com/properties/9783254/1330927974/image-0-480x320.jpg,"£400,000 ",2 bedroom flat for sale
"Wycombe Gardens, Golders Green, NW11",020 8022 6995,"An exclusive development of four newly built distinctively designed contemporary four bedroom, two bathroom houses located on this desirable, quiet tree-lined avenue close to both the beautiful open spaces of Golders Hill Park as well as the thriving and vibrant shopping, dining, caf and...",https://media.onthemarket.com/properties/9783244/1330927853/image-0-480x320.jpg,"£1,990,000 ",4 bedroom house for sale
"Wycombe Gardens, Golders Green, NW11",020 8022 6995,"An exclusive development of four newly built distinctively designed contemporary four bedroom, two bathroom houses located on this desirable, quiet tree-lined avenue close to both the beautiful open spaces of Golders Hill Park as well as the thriving and vibrant shopping, dining, caf and...",https://media.onthemarket.com/properties/9783243/1330927842/image-0-480x320.jpg,"£1,950,000 ",4 bedroom house for sale
